id,raw_text,HS,TR,AG,language,cleaned_text,hashtags,user_ids,percent_capitals,!_count,?_count,$_count,*_count,!_count_normalized,?_count_normalized,$_count_normalized,*_count_normalized,translated_text,negative,positive,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative_esp,positive_esp,anger_esp,anticipation_esp,disgust_esp,fear_esp,joy_esp,sadness_esp,surprise_esp,trust_esp
20001,Easyjet quiere duplicar el número de mujeres piloto' Verás tú para aparcar el avión.. http://t.co/46NuLkm09x,1,0,0,es,easyjet quiere duplicar el número de mujeres piloto' verás tú para aparcar el avión..,[],[],0.03076923076923077,0,0,0,0,0.40851319333733394,0.39205702491734323,0.49218967616087916,0.48008762033124336,easyjet wants to double the number of female pilots' you'll see to park the plane..,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20002,El gobierno debe crear un control estricto de inmigración en las zonas fronterizas con Colombia por q después del 20-8querrán venir en masa,1,0,0,es,el gobierno debe crear un control estricto de inmigración en las zonas fronterizas con colombia por q después del 20-8querrán venir en masa,[],[],0.01818181818181818,0,0,0,0,0.40851319333733394,0.39205702491734323,0.49218967616087916,0.48008762033124336,the government must create a strict immigration control in the border areas with Colombia so that after 20-8 they will want to come en masse,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20003,Yo veo a mujeres destruidas por acoso laboral y callejero. Otras con depresión debido a violación sexual o maltrato físico. Y conocí a varias que se suicidaron por este tipo de comportamientos machistas. Vas a seguir con tu show pobre? https://t.co/JE6MEgvIh4,0,0,0,es,yo veo a mujeres destruidas por acoso laboral y callejero. otras con depresión debido a violación sexual o maltrato físico. y conocí a varias que se suicidaron por este tipo de comportamientos machistas. vas a seguir con tu show pobre,[],[],0.02127659574468085,0,1,0,0,0.40851319333733394,0.9152581228202095,0.49218967616087916,0.48008762033124336,i see women destroyed by workplace and street harassment. others with depression due to rape or physical abuse. and I met several who committed suicide for this type of macho behavior. you are going to continue with your poor show,0.19230769230769232,0.07692307692307693,0.15384615384615385,0.038461538461538464,0.07692307692307693,0.15384615384615385,0.0,0.19230769230769232,0.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20004,"— Yo soy respetuoso con los demás, sólamente les recuerdo lo que son. Y si son escoria no es culpa mía. ... — ¡Claro que lo sé! ¿¡Por quién me tomas!?",0,0,0,es,"— yo soy respetuoso con los demás, sólamente les recuerdo lo que son. y si son escoria no es culpa mía. ... — ¡claro que lo sé ¿¡por quién me tomas",[],[],0.039603960396039604,2,1,0,0,0.9567413997949957,0.9152581228202095,0.49218967616087916,0.48008762033124336,"— I am respectful to others, I just remind them what they are. and if they are scum it is not my fault. ... — Of course I know who you take me for!",0.3333333333333333,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20007,Antonio Caballero y como ser de mal gusto e ignorante a la vez. Claro que no es lo mismo acoso sexual y violación pero hay varias conductas que componen la violencia sexual.,0,0,0,es,antonio caballero y como ser de mal gusto e ignorante a la vez. claro que no es lo mismo acoso sexual y violación pero hay varias conductas que componen la violencia sexual.,[],[],0.02158273381294964,0,0,0,0,0.40851319333733394,0.39205702491734323,0.49218967616087916,0.48008762033124336,"antonio Caballero and how to be in bad taste and ignorant at the same time. Of course, sexual harassment and rape are not the same, but there are several behaviors that make up sexual violence.",0.23529411764705882,0.0,0.17647058823529413,0.058823529411764705,0.17647058823529413,0.17647058823529413,0.0,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20008,@Zurine3 Cuánto hijo de puta sobra en el mundo...,0,0,0,es,user cuánto hijo de puta sobra en el mundo...,[],['@Zurine3'],0.030303030303030304,0,0,0,0,0.40851319333733394,0.39205702491734323,0.49218967616087916,0.48008762033124336,user how much son of a bitch is left in the world...,0.2,0.0,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20009,Pablo Casado debería estudiar un máster en inmigración https://t.co/Pcz6GPJ6dG,0,0,0,es,pablo casado debería estudiar un máster en inmigración,[],[],0.045454545454545456,0,0,0,0,0.40851319333733394,0.39205702491734323,0.49218967616087916,0.48008762033124336,married Pablo should study a master's degree in immigration,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20010,vos me haces eso te pego una patada en la cara https://t.co/2drqUu5Rwc,0,0,0,es,vos me haces eso te pego una patada en la cara,[],[],0.0,0,0,0,0,0.40851319333733394,0.39205702491734323,0.49218967616087916,0.48008762033124336,you do that to me I kick you in the face,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20012,#Noticiasdelalinea: Detienen en Guatapanal motocicleta y nacional haitiano indocumentado https://t.co/qs9MTKddqK,0,0,0,es,detienen en guatapanal motocicleta y nacional haitiano indocumentado,['#Noticiasdelalinea:'],[],0.03278688524590164,0,0,0,0,0.40851319333733394,0.39205702491734323,0.49218967616087916,0.48008762033124336,detained on guatapanal motorcycle and undocumented Haitian national,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20013,@MaivePerez Llora te lo.mereces por zorra,1,1,1,es,user llora te lo.mereces por zorra,[],['@MaivePerez'],0.03571428571428571,0,0,0,0,0.40851319333733394,0.39205702491734323,0.49218967616087916,0.48008762033124336,user cries you deserve it for bitch,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
